Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Popularity
What A Wonderful World,Louis Armstrong,What A Wonderful World,Louis Armstrong,1968-01-01,1,1,139226,,80
Dream A Little Dream Of Me - Single Version,"Ella Fitzgerald, Louis Armstrong","Love, Ella",Ella Fitzgerald,2007-05-03,1,4,185160,,69
My Baby Just Cares for Me (2013 - Remaster),Nina Simone,Little Girl Blue (2013 - Remaster),Nina Simone,2013-08-27,1,6,215746,https://p.scdn.co/mp3-preview/20f474f1742d04f1ed09a73e0d90fbade0c265d7?cid=9950ac751e34487dbbe027c4fd7f8e99,55
Fly Me To The Moon,"Frank Sinatra, Count Basie",Ultimate Sinatra,Frank Sinatra,2015-04-21,1,17,147146,,66
In the Mood - Live,Glenn Miller,The Glenn Miller Carnegie Hall Concert (Live),Glenn Miller,1939,1,8,209573,https://p.scdn.co/mp3-preview/531b9d7fc05c730851c88386d9a3f5734eb21843?cid=9950ac751e34487dbbe027c4fd7f8e99,63
Unforgettable,Nat King Cole,Unforgettable,Nat King Cole,1954-01-01,1,1,191973,,72
Cheek To Cheek,"Ella Fitzgerald, Louis Armstrong",The Complete Ella And Louis On Verve,"Ella Fitzgerald, Louis Armstrong",1997-05-20,1,9,354533,,66
La vie en rose - Single Version,Louis Armstrong,Satchmo Serenades,Louis Armstrong,1952-04-01,1,5,203760,,70
The Girl From Ipanema,Stan Getz,Getz/Gilberto (Expanded Edition),"Stan Getz, João Gilberto",1964,1,1,320253,,69
Take Five,The Dave Brubeck Quartet,Time Out,The Dave Brubeck Quartet,1959-12-14,1,3,324133,https://p.scdn.co/mp3-preview/eb37af1ddf50ffaa177884c1a62fc669e69dd472?cid=9950ac751e34487dbbe027c4fd7f8e99,70
Stormy Weather,Etta James,At Last!,Etta James,1960,1,9,187666,,71
I'll Be Seeing You,Billie Holiday,Billie Holiday,Billie Holiday,1957-01-01,1,3,211533,,69
My Funny Valentine,Chet Baker,Chet Baker Sings,Chet Baker,1956,1,10,141133,,68
A Kiss To Build A Dream On - Single Version,Louis Armstrong,Satchmo Serenades,Louis Armstrong,1952-04-01,1,2,181493,,66
Love Me Or Leave Me,Nina Simone,Let It All Out,Nina Simone,1966-01-01,1,3,244866,,61
Nature Boy,Nat King Cole,The Nat King Cole Story,Nat King Cole,1991-01-01,1,7,173533,,60
Summertime,"Ella Fitzgerald, Louis Armstrong",Porgy And Bess,"Ella Fitzgerald, Louis Armstrong",1958-01-01,1,2,298133,,68
Fly Me To The Moon,Astrud Gilberto,The Shadow Of Your Smile,Astrud Gilberto,1965-05-22,1,4,142533,,66
Cantaloupe Island - Remastered 1999/Rudy Van Gelder Edition,Herbie Hancock,Empyrean Isles (Expanded Edition),Herbie Hancock,1964-06-17,1,3,333946,,64
Blue Moon,Billie Holiday,Solitude,Billie Holiday,1956-01-01,1,2,207826,,68
Corcovado (Quiet Nights Of Quiet Stars),"Stan Getz, João Gilberto, Astrud Gilberto, Antônio Carlos Jobim",Getz/Gilberto (Expanded Edition),"Stan Getz, João Gilberto",1964,1,5,256560,,65
I Fall In Love Too Easily,Chet Baker,Chet Baker Sings,Chet Baker,1956,1,13,201440,,69
Mack the Knife,Louis Armstrong,The Great American Songbook,Louis Armstrong,1929,1,14,201466,https://p.scdn.co/mp3-preview/d9d85f20ecf67dd2af7248b2f78ad649e1fa6a06?cid=9950ac751e34487dbbe027c4fd7f8e99,59
In A Sentimental Mood,"Duke Ellington, John Coltrane",Duke Ellington & John Coltrane,"Duke Ellington, John Coltrane",1963-02,1,1,255226,,69
Giant Steps - 2020 Remaster,John Coltrane,Giant Steps (60th Anniversary Super Deluxe Edition) [2020 Remaster],John Coltrane,2020-09-18,1,1,287843,https://p.scdn.co/mp3-preview/8ba4567261c9bc0b9c2393ffbaea1753e7a04b07?cid=9950ac751e34487dbbe027c4fd7f8e99,58
Night And Day,Ella Fitzgerald,Ella Fitzgerald Sings The Cole Porter Song Book (Expanded Edition),Ella Fitzgerald,1997-01-15,2,11,184093,,51
Blue in Green (feat. John Coltrane & Bill Evans),"Miles Davis, John Coltrane, Bill Evans",Kind Of Blue (Legacy Edition),Miles Davis,1959-08-17,1,3,337733,https://p.scdn.co/mp3-preview/9cedbd49d385ca7b8e22d7ba1d000a294dd8754e?cid=9950ac751e34487dbbe027c4fd7f8e99,67
Autumn Leaves,Chet Baker,My Funny Valentine: The Best Of Chet Baker,Chet Baker,2010-04-23,2,1,423573,https://p.scdn.co/mp3-preview/1bf0de2516a8a071e1d7b9fb56efcaa114f5c314?cid=9950ac751e34487dbbe027c4fd7f8e99,58
Teach Me Tonight,Dinah Washington,"The Complete Dinah Washington On Mercury, Vol.4 (1954-1956)",Dinah Washington,1988-01-01,1,2,167493,,62
All of Me,Billie Holiday,Lady Day: The Complete Billie Holiday On Columbia (1933-1944),Billie Holiday,1933,7,2,181440,https://p.scdn.co/mp3-preview/9e9abd033894e3e373e795742d0c63c982d786ca?cid=9950ac751e34487dbbe027c4fd7f8e99,67
My One And Only Love,"John Coltrane, Johnny Hartman",John Coltrane And Johnny Hartman,"John Coltrane, Johnny Hartman",1963-01-01,1,3,295240,,65
Lullaby Of Birdland,Sarah Vaughan,Sarah Vaughan,Sarah Vaughan,1954-12-01,1,1,240866,,56
Moanin' - Remastered 1998/Rudy Van Gelder Edition,Art Blakey,Moanin' (Expanded Edition),Art Blakey & The Jazz Messengers,1959-01-01,1,2,570720,,58
Summertime,Charlie Parker,April In Paris: The Genius Of Charlie Parker #2,Charlie Parker,1957-08-08,1,2,167121,,59
"So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)","Miles Davis, John Coltrane, Cannonball Adderley, Bill Evans",Kind Of Blue (Legacy Edition),Miles Davis,1959-08-17,1,1,562640,https://p.scdn.co/mp3-preview/d1a1a7b585e7bcf9becc2ab44938f6399fe90659?cid=9950ac751e34487dbbe027c4fd7f8e99,65
Autumn In New York,"Ella Fitzgerald, Louis Armstrong",Ella And Louis Again,"Ella Fitzgerald, Louis Armstrong",1957-02-25,1,5,356626,,64
Watermelon Man - Remastered,Herbie Hancock,Takin' Off (Expanded Edition),Herbie Hancock,1962-05-28,1,1,429266,,58
I Get Along Without You Very Well (Except Sometimes) - Vocal Version,Chet Baker,Chet Baker Sings,Chet Baker,1956,1,9,179640,,62
Solitude,Billie Holiday,Solitude,Billie Holiday,1956-01-01,1,8,207600,,69
My Favorite Things,John Coltrane,My Favorite Things (Deluxe Edition),John Coltrane,1961,1,1,824133,https://p.scdn.co/mp3-preview/f5c11004f9f6e5d44398a33ce77a60139fd5e9a7?cid=9950ac751e34487dbbe027c4fd7f8e99,56
Misty,Sarah Vaughan,Sarah Vaughan's Golden Hits,Sarah Vaughan,1958-07-07,1,1,179373,,59
"Mercy, Mercy, Mercy",Cannonball Adderley,Jazz Profile: Cannonball Adderley,Cannonball Adderley,1997-01-01,1,5,313200,,55
